Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  T         90.00 Comment        
C16        C0402              1816.85mil       2987mil    1816.85mil    2986.85mil    1816.85mil    2968.15mil  T         90.00 1uF            
C10        C0402             2418.307mil   2616.292mil   2418.307mil   2616.142mil   2418.307mil   2597.442mil  T         90.00 100nF          
LED1       LED2012120        1301.519mil    3161.85mil    1301.85mil    3161.85mil   1343.188mil    3161.85mil  T        180.00 5988140107F    
C15        C0402               1811.7mil    2791.85mil    1811.85mil    2791.85mil    1830.55mil    2791.85mil  T        180.00 100nF          
LED4       LED2012120        2149.606mil   2916.008mil   2149.606mil   2916.339mil   2149.606mil   2957.677mil  T        270.00 5988140107F    
LED10      LED2012120        2148.622mil       2771mil   2148.622mil   2770.669mil   2148.622mil   2729.331mil  T         90.00 5988140107F    
C11        C0402               1811.7mil    2746.85mil    1811.85mil    2746.85mil    1830.55mil    2746.85mil  T        180.00 100nF          
C1         C0402             2267.566mil   2940.945mil   2267.716mil   2940.945mil   2286.416mil   2940.945mil  T        180.00 22pF           
C7         C0402             2783.615mil   2334.646mil   2783.465mil   2334.646mil   2764.765mil   2334.646mil  T          0.00 100nF          
C8         C0402              3196.85mil   2555.268mil    3196.85mil   2555.118mil    3196.85mil   2536.418mil  T         90.00 100nF          
C9         C0402             2415.204mil   2887.795mil   2415.354mil   2887.795mil   2434.054mil   2887.795mil  T        180.00 100nF          
C6         C0402             3228.497mil    2907.48mil   3228.347mil    2907.48mil   3209.646mil    2907.48mil  T        360.00 100nF          
LED7       LED2012120        1301.519mil    3081.85mil    1301.85mil    3081.85mil   1343.188mil    3081.85mil  T        180.00 5988170107F    
X18        2X03              2438.976mil    3214.41mil   2438.976mil    3214.41mil   2338.976mil    3164.41mil  T          0.00 PINHD-2X3      
U2         TQFP100_140140_012   2813.658mil    2716.83mil   2813.638mil    2716.85mil   3050.638mil    3031.81mil  T        270.00 Atmega2560     
X2         PN61729           1549.693mil   2716.145mil   1456.693mil   2716.535mil   1642.693mil   2666.535mil  T        270.00 USB-B          
S1         B3F-31XX          1338.583mil   3385.827mil   1338.583mil   3385.827mil   1289.583mil   3474.827mil  T        270.00 1571610-2      
D16        SOD323-R          1561.024mil   3055.756mil   1561.024mil   3056.102mil   1561.024mil   3012.102mil  T        270.00 RSB39VTE-17    
R13        2512R-0.55         4301.85mil    3761.85mil    4301.85mil    3761.85mil   4417.992mil    3761.85mil  T        180.00 0.6r           
C50        C0603              2118.85mil    1583.85mil    2118.85mil    1583.85mil    2118.85mil   1557.079mil  T         90.00 1nF            
C51        C0603              1660.85mil    1583.85mil    1660.85mil    1583.85mil    1660.85mil   1557.079mil  T         90.00 1nF            
C55        C0603             2091.622mil    1492.85mil   2091.622mil    1492.85mil   2118.394mil    1492.85mil  T        180.00 1nF            
C61        C0603             1678.598mil    1496.85mil   1678.598mil    1496.85mil   1651.827mil    1496.85mil  T        360.00 1nF            
C64        C0603              1957.85mil    1492.85mil    1957.85mil    1492.85mil   1931.079mil    1492.85mil  T        360.00 1nF            
C65        C0603              1565.85mil    1496.85mil    1565.85mil    1496.85mil   1539.079mil    1496.85mil  T        360.00 1nF            
C66        C0603              1314.85mil    1644.85mil    1314.85mil    1644.85mil    1314.85mil   1618.079mil  T         90.00 1nF            
C75        C0603              1761.85mil    1583.85mil    1761.85mil    1583.85mil    1761.85mil   1557.079mil  T         90.00 1nF            
C76        C0603              2671.85mil    1790.85mil    2671.85mil    1790.85mil    2671.85mil   1764.079mil  T         90.00 1nF            
C77        C0603              3456.85mil    1589.85mil    3456.85mil    1589.85mil   3430.079mil    1589.85mil  T        360.00 1nF            
C78        C0603              2546.85mil    1653.85mil    2546.85mil    1653.85mil    2546.85mil   1627.079mil  T         90.00 1nF            
C79        C0603              3330.85mil    1500.85mil    3330.85mil    1500.85mil   3304.079mil    1500.85mil  T        360.00 1nF            
C80        C0603              2545.85mil    1519.85mil    2545.85mil    1519.85mil    2545.85mil   1493.079mil  T         90.00 1nF            
C81        C0603              3217.85mil    1499.85mil    3217.85mil    1499.85mil   3244.622mil    1499.85mil  T        180.00 1nF            
C82        C0603              2189.85mil    1583.85mil    2189.85mil    1583.85mil    2189.85mil   1557.079mil  T         90.00 1nF            
C83        C0603              3122.85mil    1510.85mil    3122.85mil    1510.85mil    3122.85mil   1537.622mil  T        270.00 1nF            
X10        MSTBV4-ThinSilk   4378.937mil   1707.677mil   4378.937mil   1707.677mil   4678.937mil   1707.677mil  T        180.00 0395311004     
C89        C0603             4922.244mil   4353.346mil   4922.244mil   4353.346mil   4922.244mil   4380.118mil  T        270.00 NP             
C88        C0603             4864.173mil   4353.346mil   4864.173mil   4353.346mil   4864.173mil   4380.118mil  T        270.00 NP             
C87        C0603             4374.016mil   4788.386mil   4374.016mil   4788.386mil   4400.788mil   4788.386mil  T        180.00 NP             
C86        C0603             4132.874mil   4832.677mil   4132.874mil   4832.677mil   4132.874mil   4805.905mil  T         90.00 NP             
C85        C0603              4006.89mil   4786.417mil    4006.89mil   4786.417mil   3980.118mil   4786.417mil  T        360.00 NP             
C84        C0603             4226.378mil   4832.677mil   4226.378mil   4832.677mil   4226.378mil   4805.905mil  T         90.00 NP             
P2         HDR2X5            3146.457mil   6224.606mil   3346.457mil   6274.606mil   3346.457mil   6274.606mil  T        180.00 Header 5X2     
P1         HDR2X5            3148.425mil   6591.732mil   3348.425mil   6641.732mil   3348.425mil   6641.732mil  T        180.00 Header 5X2     
P3         2X5_IDCW          3641.535mil   6501.772mil   3591.535mil   6701.772mil   3591.535mil   6701.772mil  T        270.00 5x2 IDCw       
U3         VSSOP10           4391.536mil   6372.638mil   4391.536mil   6372.638mil   4486.024mil   6333.267mil  T        180.00 LM25011MY/NOPB 
R24        R0603             4534.477mil   6566.233mil    4534.48mil    6566.23mil   4534.477mil   6539.461mil  T         90.00 10K            
R23        R0603             4477.397mil   6566.233mil   4477.394mil   6566.236mil   4477.397mil   6593.005mil  T        270.00 10K            
R11        R0603             4550.847mil   6442.066mil    4550.85mil   6442.063mil   4550.847mil   6415.294mil  T         90.00 10K            
R3         R0402             4560.901mil   6367.063mil    4560.85mil   6367.063mil   4541.952mil   6367.063mil  T        360.00 200K           
L1         XAL50XX-153        4026.85mil   6351.063mil    4026.85mil   6351.063mil    4026.85mil   6416.221mil  T        270.00 XAL5050-153MED 
D9         SMA-SM             4026.98mil   6561.063mil    4026.85mil   6561.063mil    4105.85mil   6561.063mil  T        360.00 SK310A-TP      
C49        C0402               4484.7mil   6472.063mil    4484.85mil   6472.063mil    4503.55mil   6472.063mil  T        180.00 4.7nF          
C45        C0805             4225.149mil   6256.063mil    4224.85mil   6256.063mil   4187.448mil   6256.063mil  T        360.00 10uF           
C40        C0603              4189.85mil   6345.063mil    4189.85mil   6345.063mil    4189.85mil   6318.291mil  T         90.00 100nF          
C35        C0805              4561.85mil   6269.764mil    4561.85mil   6270.063mil    4561.85mil   6307.465mil  T        270.00 1uF            
C30        C1206              4431.85mil   6255.063mil    4431.85mil   6255.063mil   4484.016mil   6255.063mil  T        180.00 4.7uF          
C25        C0603              3861.22mil   6088.583mil    3861.22mil   6088.583mil   3834.449mil   6088.583mil  T        360.00 100nF          
F3         3557              4862.205mil   5116.142mil   4862.205mil   5116.142mil   4795.205mil   4851.142mil  T         90.00 3557-2         
F2         3557               4571.85mil   5115.158mil    4571.85mil   5115.158mil    4638.85mil   4850.158mil  T         90.00 3557-2         
FB1        L1806             4055.118mil   4712.598mil   4055.118mil   4712.598mil    4136.22mil   4712.598mil  T        180.00 BLM41PG600SN1L 
FB2        L1806             4313.976mil   4714.567mil   4313.976mil   4714.567mil   4232.874mil   4714.567mil  T        360.00 BLM41PG600SN1L 
C3         C0603             3589.567mil   4319.882mil   3589.567mil   4319.882mil   3616.339mil   4319.882mil  T        180.00 100nF          
R21        R0603             3761.808mil   5796.257mil   3761.811mil    5796.26mil   3788.579mil   5796.257mil  T        180.00 100K           
R71        R0603             3769.688mil   5848.428mil   3769.685mil   5848.425mil   3742.916mil   5848.428mil  T        360.00 10r            
R70        R0603             3702.753mil   5548.232mil   3702.756mil   5548.228mil   3702.753mil    5521.46mil  T         90.00 1.8K           
LED3       LED2012120        3766.732mil   5593.835mil   3766.732mil   5593.504mil   3766.732mil   5552.166mil  T         90.00 5988110107F    
X12        70543-02          3547.244mil   5145.669mil   3547.244mil   5145.669mil   3547.244mil   5195.669mil  T        270.00 C-GRID-02-70543
X11        70543-03          1732.284mil    6342.52mil   1732.284mil    6342.52mil   1632.284mil    6342.52mil  T        360.00 C-GRID-03-70543
X7         70543-03          2559.055mil    6342.52mil   2559.055mil    6342.52mil   2459.055mil    6342.52mil  T        360.00 C-GRID-03-70543
X5         70543-03          2145.669mil    6342.52mil   2145.669mil    6342.52mil   2045.669mil    6342.52mil  T        360.00 C-GRID-03-70543
R6         R0603             3373.028mil   5133.861mil   3373.025mil   5133.858mil   3346.257mil   5133.861mil  T        360.00 4.7K           
R5         R0603             3373.028mil   5251.965mil   3373.032mil   5251.968mil     3399.8mil   5251.965mil  T        180.00 4.7K           
D5         SOD523            3255.905mil   5448.819mil   3255.905mil   5448.819mil   3283.465mil   5448.819mil  T        360.00 1N4148WT       
D1         SOD523            3330.709mil   5440.945mil   3330.709mil   5440.945mil   3330.709mil   5413.386mil  T        270.00 1N4148WT       
C4         C0402             3244.244mil   5492.126mil   3244.095mil   5492.126mil   3225.394mil   5492.126mil  T        360.00 100nF          
C48        C0402             2701.622mil   4718.504mil   2701.772mil   4718.504mil   2720.472mil   4718.504mil  T        180.00 1uF            
C47        C0402             2704.575mil    4881.89mil   2704.724mil    4881.89mil   2723.425mil    4881.89mil  T        180.00 1uF            
C22        C0402             2779.378mil   4718.504mil   2779.528mil   4718.504mil   2798.228mil   4718.504mil  T        180.00 1uF            
C21        C0402             2779.378mil    4881.89mil   2779.528mil    4881.89mil   2798.228mil    4881.89mil  T        180.00 1uF            
RN3        CAY16             2776.197mil   4652.346mil   2776.575mil   4652.559mil   2823.819mil   4679.133mil  T        180.00 10K            
RN2        CAY16             2776.197mil    4792.11mil   2776.575mil   4792.323mil   2823.819mil   4818.897mil  T        180.00 10K            
C20        C0402             2857.434mil    4717.52mil   2857.284mil    4717.52mil   2838.584mil    4717.52mil  T        360.00 1uF            
C19        C0402             2857.434mil   4880.906mil   2857.284mil   4880.906mil   2838.584mil   4880.906mil  T        360.00 1uF            
RN1        CAY16             2776.197mil   4947.622mil   2776.575mil   4947.835mil   2823.819mil   4974.409mil  T        180.00 10K            
F1         3557              3791.339mil   4430.118mil   3791.339mil   4430.118mil   3858.339mil   4695.118mil  T        270.00 3557-2         
X3         MSTBV4             5117.85mil   5996.063mil    5117.85mil   5996.063mil    5117.85mil   5696.063mil  T         90.00 0395311004     
D4         SOD523            1686.024mil   5988.189mil   1686.024mil   5988.189mil   1686.024mil    5960.63mil  T        270.00 1N4148WT       
D3         SOD523            2271.653mil   5791.339mil   2271.653mil   5791.339mil   2244.094mil   5791.339mil  T        180.00 1N4148WT       
C63        C0402             1631.378mil   5826.213mil   1631.378mil   5826.063mil   1631.378mil   5807.363mil  T         90.00 4.7nF          
D8         SMA-SM            4351.378mil   5071.721mil   4351.378mil    5071.85mil   4351.378mil    4992.85mil  T        270.00 SMAJ30A        
D2         SMA-SM            3582.677mil   4484.382mil   3582.677mil   4484.252mil   3582.677mil   4563.252mil  T         90.00 SMAJ30A        
C5         C12,5-5           3942.913mil   5090.551mil   3942.913mil   5090.551mil   3844.488mil   5090.551mil  T        360.00 470uF          
L2         C0805             3228.347mil   5861.906mil   3228.347mil   5862.205mil   3228.347mil   5899.607mil  T        270.00 CBC2012T100M   
R37        R0603             3397.635mil   5492.129mil   3397.638mil   5492.126mil   3397.635mil   5465.358mil  T         90.00 4.7K           
D15        SOD523            3252.953mil    5539.37mil   3252.953mil    5539.37mil   3280.512mil    5539.37mil  T        360.00 1N4148WT       
D14        SOD523            3330.709mil   5559.055mil   3330.709mil   5559.055mil   3330.709mil   5586.614mil  T         90.00 1N4148WT       
R32        R0603             3397.635mil   5610.239mil   3397.638mil   5610.236mil   3397.635mil   5583.468mil  T         90.00 4.7K           
D11        SOD523            3330.709mil    5657.48mil   3330.709mil    5657.48mil   3330.709mil   5629.921mil  T        270.00 1N4148WT       
R73        R0603             3362.208mil   5874.019mil   3362.205mil   5874.016mil   3335.436mil   5874.019mil  T        360.00 10K            
D13        SOD523            3255.905mil   5625.984mil   3255.905mil   5625.984mil   3283.465mil   5625.984mil  T        360.00 1N4148WT       
D12        SOD323-R          3330.709mil   5768.062mil   3330.709mil   5767.717mil   3330.709mil   5811.717mil  T         90.00 SZMM3Z4V7T1G   
C74        C0603             3043.307mil   4633.858mil   3043.307mil   4633.858mil   3070.079mil   4633.858mil  T        180.00 100nF          
C73        C0603             2200.787mil   4614.173mil   2200.787mil   4614.173mil   2200.787mil   4640.945mil  T        270.00 100nF          
C72        C0603             1759.842mil   4613.189mil   1759.842mil   4613.189mil   1759.842mil   4639.961mil  T        270.00 100nF          
C71        C0603             1304.094mil   4612.323mil   1304.094mil   4612.323mil   1304.094mil   4639.095mil  T        270.00 100nF          
R34        R0603              2417.32mil   5303.153mil   2417.323mil    5303.15mil    2417.32mil   5276.381mil  T         90.00 1K             
C70        C0402             2029.527mil   5389.614mil   2029.527mil   5389.764mil   2029.527mil   5408.464mil  T        270.00 100nF          
C69        C0402             2347.441mil   5395.519mil   2347.441mil   5395.669mil   2347.441mil   5414.369mil  T        270.00 100nF          
C68        C0402             2348.425mil   5224.559mil   2348.425mil   5224.409mil   2348.425mil   5205.709mil  T         90.00 100nF          
C67        C0402             2030.512mil    5217.67mil   2030.512mil    5217.52mil   2030.512mil    5198.82mil  T         90.00 100nF          
R72        R0402             1691.378mil    5826.02mil   1691.378mil   5826.071mil   1691.378mil   5844.969mil  T        270.00 1M             
U10        QSOP16            2189.295mil   5305.852mil   2188.976mil   5306.102mil   2086.614mil   5393.602mil  T        270.00 ADUM7441       
D10        SMA-SM            4870.079mil   5693.043mil   4870.079mil   5692.913mil   4870.079mil   5771.913mil  T         90.00 SK310A-TP      
D6         SMA-SM            4791.339mil   6582.547mil   4791.339mil   6582.677mil   4791.339mil   6503.677mil  T        270.00 SK310A-TP      
FID3       FIDUCIAL-1X2      5248.032mil   4044.291mil   5248.032mil   4044.291mil   5248.032mil   4044.291mil  T          0.00 FIDUCIAL       
FID1       FIDUCIAL-1X2      1245.079mil   6708.661mil   1245.079mil   6708.661mil   1245.079mil   6708.661mil  T          0.00 FIDUCIAL       
R16        R0603             3698.822mil   5873.028mil   3698.819mil   5873.032mil   3698.822mil     5899.8mil  T        270.00 100K           
R9         R0603             3769.688mil   5895.672mil   3769.685mil   5895.669mil   3742.916mil   5895.672mil  T        360.00 10r            
R69        R0603             3703.743mil   5657.477mil    3703.74mil    5657.48mil   3703.743mil   5684.249mil  T        270.00 1.8K           
LED8       LED2012120        3741.473mil   5741.142mil   3741.142mil   5741.142mil   3699.804mil   5741.142mil  T        360.00 5988110107F    
Q8         NCV8402AD-SOIC8   3959.027mil   5951.772mil   3958.661mil   5951.772mil   3850.393mil   6026.772mil  T        270.00 NCV8402AD      
X9         70543-02          3952.756mil   5559.055mil   3952.756mil   5559.055mil   4002.756mil   5559.055mil  T        180.00 C-GRID-02-70543
C62        C0603             5177.165mil   5173.228mil   5177.165mil   5173.228mil   5150.394mil   5173.228mil  T        360.00 100nF          
C60        C0603             4254.921mil    5138.78mil   4254.921mil    5138.78mil   4254.921mil   5165.551mil  T        270.00 100nF          
C52        C0402             2877.953mil   5941.095mil   2877.953mil   5940.945mil   2877.953mil   5922.245mil  T         90.00 100nF          
C26        C0402             3228.497mil   5755.905mil   3228.347mil   5755.905mil   3209.646mil   5755.905mil  T        360.00 100nF          
FID2       FIDUCIAL-1X2      1245.079mil   4048.228mil   1245.079mil   4048.228mil   1245.079mil   4048.228mil  T          0.00 FIDUCIAL       
U8         QFN32_050050      3261.555mil   4664.925mil   3261.811mil   4665.181mil   3356.299mil   4596.181mil  T        180.00 A4982          
U7         QFN32_050050      2373.523mil   4671.815mil    2373.78mil   4672.071mil   2468.267mil   4603.071mil  T        180.00 A4982          
U6         QFN32_050050      1934.901mil   4671.815mil   1935.158mil   4672.071mil   2029.646mil   4603.071mil  T        180.00 A4982          
U5         QFN32_050050      1483.996mil   4671.815mil   1484.252mil   4672.071mil    1578.74mil   4603.071mil  T        180.00 A4982          
D7         DO-214AB          5144.685mil   4945.421mil   5144.685mil   4945.866mil   5144.685mil   4826.866mil  T        270.00 S3A-13-F       
X35        1X02              3947.638mil   5787.402mil   3897.638mil   5787.402mil   3897.638mil   5787.402mil  T        360.00 M02PTH         
C24        C0603             1461.614mil   4862.205mil   1461.614mil   4862.205mil   1461.614mil   4835.433mil  T         90.00 100nF          
C23        C0603              1911.85mil   4861.063mil    1911.85mil   4861.063mil    1911.85mil   4834.291mil  T         90.00 100nF          
C18        C0603              2351.85mil   4861.063mil    2351.85mil   4861.063mil    2351.85mil   4834.291mil  T         90.00 100nF          
C17        C0603              3231.85mil   4861.063mil    3231.85mil   4861.063mil    3231.85mil   4834.291mil  T         90.00 100nF          
X15        4POL254_NOPOL     2834.646mil   4413.386mil   2834.646mil   4413.386mil   2984.646mil   4413.386mil  T        180.00 MPT4           
C2         C0805             1834.347mil   5205.709mil   1834.646mil   5205.709mil   1872.048mil   5205.709mil  T        180.00 10uF           
R2         R0402             1811.901mil   5711.063mil    1811.85mil   5711.063mil   1792.952mil   5711.063mil  T          0.00 22r            
R1         R0402             1811.901mil   5656.063mil    1811.85mil   5656.063mil   1792.952mil   5656.063mil  T          0.00 22r            
X1         70543-02          3649.606mil   6082.677mil   3649.606mil   6082.677mil   3649.606mil   6032.677mil  T         90.00 C-GRID-02-70543
R62        R0603             3474.413mil   4861.389mil    3474.41mil   4861.392mil   3474.413mil   4888.161mil  T        270.00 100K           
R61        R0603              2582.68mil   4861.389mil   2582.677mil   4861.392mil    2582.68mil   4888.161mil  T        270.00 100K           
R60        R0603             1681.106mil   4861.217mil   1681.102mil   4861.221mil   1681.106mil   4887.989mil  T        270.00 100K           
R59        R0603             2106.302mil   4862.202mil   2106.299mil   4862.205mil   2106.302mil   4888.973mil  T        270.00 100K           
Y1         CRYS320250        2336.704mil   5578.416mil   2336.996mil   5578.054mil   2373.413mil   5532.778mil  T         90.00 7M-16.000MEEQ-T
C54        C3,5-8            5045.276mil   4551.181mil   5045.276mil   4551.181mil   5045.276mil   4621.181mil  T        270.00 100uF          
C53        C3,5-8            4260.827mil   5371.063mil   4260.827mil   5371.063mil   4260.827mil   5301.063mil  T         90.00 100uF          
R58        R0603              4771.65mil    5582.68mil   4771.654mil   5582.677mil    4771.65mil   5555.909mil  T         90.00 1.8K           
LED6       LED2012120        4708.661mil   5598.756mil   4708.661mil   5598.425mil   4708.661mil   5557.087mil  T         90.00 5988110107F    
R57        R0603             4641.729mil   5574.806mil   4641.732mil   5574.803mil   4641.729mil   5548.035mil  T         90.00 100K           
R56        R0603             4582.674mil   5574.806mil   4582.677mil   5574.803mil   4582.674mil   5548.035mil  T         90.00 10r            
R47        R0603             1635.824mil   5989.176mil   1635.827mil   5989.173mil   1635.824mil   5962.405mil  T         90.00 10K            
R46        R0603             2374.013mil   5779.524mil   2374.016mil   5779.528mil   2400.784mil   5779.524mil  T        180.00 10K            
R43        R0603             4755.902mil   6086.611mil   4755.905mil   6086.614mil   4782.674mil   6086.611mil  T        180.00 100K           
R42        R0603             4862.208mil   6086.617mil   4862.205mil   6086.614mil   4835.436mil   6086.617mil  T        360.00 10r            
R40        R0603             4897.635mil   6649.609mil   4897.638mil   6649.606mil   4897.635mil   6622.838mil  T         90.00 1.8K           
LED2       LED2012120        4901.575mil   6527.228mil   4901.575mil   6527.559mil   4901.575mil   6568.897mil  T        270.00 5988110107F    
C56        C0402             3244.244mil    5578.74mil   3244.095mil    5578.74mil   3225.394mil    5578.74mil  T        360.00 100nF          
R36        R0603             3373.028mil   5321.847mil   3373.032mil    5321.85mil     3399.8mil   5321.847mil  T        180.00 4.7K           
R35        R0603             1454.847mil   5881.064mil    1454.85mil   5881.067mil   1481.619mil   5881.064mil  T        180.00 1K             
R33        R0603             1454.847mil   5961.064mil    1454.85mil   5961.067mil   1481.619mil   5961.064mil  T        180.00 1K             
C59        C0402             3244.244mil   5665.354mil   3244.095mil   5665.354mil   3225.394mil   5665.354mil  T        360.00 100nF          
C58        C0402             2252.953mil   5553.984mil   2252.953mil   5554.134mil   2252.953mil   5572.834mil  T        270.00 22pF           
C57        C0402             2326.622mil   5483.268mil   2326.772mil   5483.268mil   2345.472mil   5483.268mil  T        180.00 22pF           
R31        R0603             3397.635mil   5787.405mil   3397.638mil   5787.402mil   3397.635mil   5760.633mil  T         90.00 4.7K           
X28        70543-02          3547.244mil   5456.693mil   3547.244mil   5456.693mil   3547.244mil   5506.693mil  T        270.00 C-GRID-02-70543
X27        70543-02          3547.244mil   5767.716mil   3547.244mil   5767.716mil   3547.244mil   5817.716mil  T        270.00 C-GRID-02-70543
Q5         SOT669            4452.756mil   5684.401mil   4452.756mil   5712.598mil   4377.756mil   5612.204mil  T        360.00 PSMN7R0-60YS,115
Q1         SOT669            4811.024mil   6243.457mil   4811.024mil   6271.654mil   4736.024mil    6171.26mil  T        360.00 PSMN7R0-60YS,115
X23        70543-03          1732.284mil    6578.74mil   1732.284mil    6578.74mil   1832.284mil    6578.74mil  T        180.00 C-GRID-03-70543
X22        70543-03          2145.669mil    6578.74mil   2145.669mil    6578.74mil   2245.669mil    6578.74mil  T        180.00 C-GRID-03-70543
X21        70543-03          2559.055mil    6578.74mil   2559.055mil    6578.74mil   2659.055mil    6578.74mil  T        180.00 C-GRID-03-70543
C46        C0603             3312.008mil   4861.389mil   3312.008mil   4861.389mil   3312.008mil   4888.161mil  T        270.00 220nF          
C44        C0603             3458.661mil   4613.189mil   3458.661mil   4613.189mil   3458.661mil   4639.961mil  T        270.00 100nF          
C43        C0603             3458.661mil   4739.173mil   3458.661mil   4739.173mil   3458.661mil   4712.402mil  T         90.00 100nF          
C42        C0603             3369.095mil   4861.389mil   3369.095mil   4861.389mil   3369.095mil   4888.161mil  T        270.00 100nF          
R20        R1206             3188.976mil   4445.858mil   3188.976mil   4445.866mil   3188.976mil    4501.85mil  T        270.00 0.1r           
R19        R1206             3336.614mil   4445.858mil   3336.614mil   4445.866mil   3336.614mil    4501.85mil  T        270.00 0.1r           
X6         4POL254           3346.457mil   4137.795mil   3346.457mil   4137.795mil   3496.457mil   4137.795mil  T        180.00 MPT4           
C41        C0603             2437.992mil   4861.221mil   2437.992mil   4861.221mil   2437.992mil   4887.992mil  T        270.00 220nF          
C39        C0603             2590.551mil   4641.732mil   2590.551mil   4641.732mil    2563.78mil   4641.732mil  T        360.00 100nF          
C38        C0603             2559.055mil   4739.173mil   2559.055mil   4739.173mil   2559.055mil   4712.402mil  T         90.00 100nF          
C37        C0603             2495.079mil   4861.221mil   2495.079mil   4861.221mil   2495.079mil   4887.992mil  T        270.00 100nF          
R15        R1206             2297.244mil   4445.858mil   2297.244mil   4445.866mil   2297.244mil    4501.85mil  T        270.00 0.1r           
R14        R1206             2445.866mil   4445.858mil   2445.866mil   4445.866mil   2445.866mil    4501.85mil  T        270.00 0.1r           
X14        4POL254_NOPOL     2834.646mil   4137.795mil   2834.646mil   4137.795mil   2984.646mil   4137.795mil  T        180.00 MPT4           
C36        C0603             1996.063mil   4862.205mil   1996.063mil   4862.205mil   1996.063mil   4888.976mil  T        270.00 220nF          
C34        C0603             2106.299mil   4614.173mil   2106.299mil   4614.173mil   2106.299mil   4640.945mil  T        270.00 100nF          
C33        C0603             2125.984mil   4739.173mil   2125.984mil   4739.173mil   2125.984mil   4712.402mil  T         90.00 100nF          
C32        C0603             2051.181mil   4862.205mil   2051.181mil   4862.205mil   2051.181mil   4888.976mil  T        270.00 100nF          
R10        R1206              1861.22mil   4445.858mil    1861.22mil   4445.866mil    1861.22mil    4501.85mil  T        270.00 0.1r           
R8         R1206             2005.906mil   4445.858mil   2005.906mil   4445.866mil   2005.906mil    4501.85mil  T        270.00 0.1r           
X4         4POL254           2322.835mil   4137.795mil   2322.835mil   4137.795mil   2472.835mil   4137.795mil  T        180.00 MPT4           
C31        C0603             1546.266mil   4861.389mil   1546.266mil   4861.389mil   1546.266mil   4888.161mil  T        270.00 220nF          
C29        C0603             1660.433mil   4613.189mil   1660.433mil   4613.189mil   1660.433mil   4639.961mil  T        270.00 100nF          
C28        C0603             1681.102mil   4739.173mil   1681.102mil   4739.173mil   1681.102mil   4712.402mil  T         90.00 100nF          
C27        C0603             1608.909mil   4861.389mil   1608.909mil   4861.389mil   1608.909mil   4888.161mil  T        270.00 100nF          
R7         R1206              1414.37mil   4445.858mil    1414.37mil   4445.866mil    1414.37mil    4501.85mil  T        270.00 0.1r           
R4         R1206             1560.039mil   4445.858mil   1560.039mil   4445.866mil   1560.039mil    4501.85mil  T        270.00 0.1r           
X8         4POL254           1811.024mil   4137.795mil   1811.024mil   4137.795mil   1961.024mil   4137.795mil  T        180.00 MPT4           
Y2         CRYS320250        1851.096mil   5399.821mil   1850.805mil   5400.183mil   1814.388mil   5445.459mil  T        270.00 7M-16.000MEEQ-T
C14        C0402             1968.354mil    5571.85mil   1968.504mil    5571.85mil   1987.204mil    5571.85mil  T        180.00 100nF          
C12        C0402             1836.464mil    5303.15mil   1836.614mil    5303.15mil   1855.314mil    5303.15mil  T        180.00 22pF           
C13        C0402             1768.701mil   5373.866mil   1768.701mil   5374.016mil   1768.701mil   5392.716mil  T        270.00 22pF           
RN5        CAY16             2116.748mil   5915.141mil   2117.126mil   5915.354mil    2164.37mil   5941.928mil  T        180.00 1K             
RV2        R0603             1741.854mil    5736.06mil    1741.85mil   5736.063mil   1741.854mil   5762.832mil  T        270.00 CG0603MLC-05E  
RV1        R0603             1741.847mil   5631.066mil    1741.85mil   5631.063mil   1741.847mil   5604.294mil  T         90.00 CG0603MLC-05E  
X17        2X03              1866.378mil   6013.622mil   1866.378mil   6013.622mil   1766.378mil   5963.622mil  T          0.00 PINHD-2X3      
U1         QFN32_050050      1976.594mil   5706.319mil    1976.85mil   5706.063mil    1907.85mil   5611.575mil  T         90.00 Atmega32u2     
C16        C0402              1816.85mil   5786.213mil    1816.85mil   5786.063mil    1816.85mil   5767.363mil  T         90.00 1uF            
C10        C0402             2418.307mil   5415.504mil   2418.307mil   5415.354mil   2418.307mil   5396.654mil  T         90.00 100nF          
LED1       LED2012120        1301.519mil   5961.063mil    1301.85mil   5961.063mil   1343.188mil   5961.063mil  T        180.00 5988140107F    
C15        C0402               1811.7mil   5591.063mil    1811.85mil   5591.063mil    1830.55mil   5591.063mil  T        180.00 100nF          
LED4       LED2012120        2149.606mil    5715.22mil   2149.606mil   5715.551mil   2149.606mil   5756.889mil  T        270.00 5988140107F    
