Designator	Footprint	Mid	X	Mid	Y	Ref	X	Ref	Y	Pad	X	Pad	Y	TB	Rotation	Comment
D15	SOD523	3056.102	2543.307	3056.102	2543.307	3083.662	2543.307	T	360	1N4148WT						
D16	SOD323-R	1353.346	2859.89	1353.346	2860.236	1353.346	2816.236	T	270	RSB39VTE-17						
D2	SMA-SM	3547.244	1247.901	3547.244	1248.032	3547.244	1169.032	T	270	SK310A-TP						
D3	SOD523	2074.803	2795.276	2074.803	2795.276	2047.244	2795.276	T	180	1N4148WT						
D4	SOD523	1489.173	2992.126	1489.173	2992.126	1489.173	2964.567	T	270	1N4148WT						
D5	SOD523	3059.055	2452.756	3059.055	2452.756	3086.614	2452.756	T	360	1N4148WT						
D6	SMA-SM	3996.063	3456.823	3996.063	3456.693	3996.063	3535.693	T	90	SK310A-TP						
D7	DO-214AB	3806.642	2405.512	3807.087	2405.512	3688.087	2405.512	T	180	S3A-13-F						
D8	SMA-SM	4062.862	2803.15	4062.992	2803.15	3983.992	2803.15	T	180	SK310A-TP						
F5	PTS1812_Fuse	4307.087	2803.15	4307.087	2803.15	4217.52	2803.15	T	360	PTS181233V075						
FB1	L1806	4027.559	1618.11	4027.559	1618.11	4108.662	1618.11	T	180	BLM41PG600SN1L						
FB2	L1806	4358.268	1779.527	4358.268	1779.528	4358.268	1698.425	T	90	BLM41PG600SN1L						
FID1	FIDUCIAL-1X2	1048.228	3712.598	1048.228	3712.598	1048.228	3712.598	T	0	FIDUCIAL						
FID2	FIDUCIAL-1X2	1048.228	1052.165	1048.228	1052.165	1048.228	1052.165	T	0	FIDUCIAL						
FID3	FIDUCIAL-1X2	5051.181	1048.228	5051.181	1048.228	5051.181	1048.228	T	0	FIDUCIAL						
L2	C0805	3031.496	2865.843	3031.496	2866.142	3031.496	2903.544	T	270	CBC2012T100M						
LED1	LED2012120	1104.669	2965	1105	2965	1146.338	2965	T	180	5988140107F						
LED10	LED2012120	1951.772	2574.15	1951.772	2573.819	1951.772	2532.481	T	90	5988140107F						
LED2	LED2012120	3956.693	3653.212	3956.693	3653.543	3956.693	3694.881	T	270	5988110107F						
LED3	LED2012120	4700.787	3424.866	4700.787	3425.197	4700.787	3466.535	T	270	5988110107F						
LED4	LED2012120	1952.756	2719.157	1952.756	2719.488	1952.756	2760.826	T	270	5988140107F						
LED6	LED2012120	4027.559	3251.637	4027.559	3251.968	4027.559	3293.307	T	270	5988110107F						
LED7	LED2012120	1104.669	2885	1105	2885	1146.338	2885	T	180	5988170107F						
LED8	LED2012120	3485.669	2964	3486	2964	3527.338	2964	T	180	5988110107F						
Q1	SOT669	3707.677	3525.937	3707.677	3554.134	3632.677	3453.74	T	360	PSMN7R0-60YS,115						
Q5	SOT669	3713.583	3146.307	3713.583	3118.11	3788.583	3218.504	T	180	PSMN7R0-60YS,115						
Q8	SOT23-3	3485.669	3181.024	3483.354	3181.323	3443.984	3218.725	T	270	IRLML6346TRPBF						
Q9	SOT23-3	4539.669	3419.638	4539.37	3417.323	4501.968	3377.953	T	0	IRLML6346TRPBF						
R1	R0402	1615.051	2660	1615	2660	1596.102	2660	T	0	22r						
R10	R1206	1664.37	1449.795	1664.37	1449.803	1664.37	1505.787	T	270	0.1r						
R14	R1206	2249.016	1449.795	2249.016	1449.803	2249.016	1505.787	T	270	0.1r						
R15	R1206	2100.394	1449.795	2100.394	1449.803	2100.394	1505.787	T	270	0.1r						
R16	R0603	3359.003	2967.003	3359	2967	3332.231	2967.003	T	360	100K						
R19	R1206	3139.764	1449.795	3139.764	1449.803	3139.764	1505.787	T	270	0.1r						
R2	R0402	1615.051	2715	1615	2715	1596.102	2715	T	0	22r						
R20	R1206	2992.126	1449.795	2992.126	1449.803	2992.126	1505.787	T	270	0.1r						
R21	R0603	3881.997	3340.997	3882	3341	3908.769	3340.997	T	180	100K						
R31	R0603	3200.784	2791.342	3200.787	2791.339	3200.784	2764.57	T	90	4.7K						
R32	R0603	3200.784	2614.176	3200.787	2614.173	3200.784	2587.405	T	90	4.7K						
R33	R0603	1257.997	2965.001	1258	2965.004	1284.768	2965.001	T	180	1K						
R34	R0603	2220.469	2307.09	2220.472	2307.087	2220.469	2280.318	T	90	1K						
R35	R0603	1257.997	2885.001	1258	2885.004	1284.768	2885.001	T	180	1K						
R36	R0603	3200.791	2307.083	3200.787	2307.087	3200.791	2333.855	T	270	4.7K						
R37	R0603	3200.784	2496.066	3200.787	2496.063	3200.784	2469.294	T	90	4.7K						
R4	R1206	1363.189	1449.795	1363.189	1449.803	1363.189	1505.787	T	270	0.1r						
R40	R0603	4019.688	3665.351	4019.685	3665.354	4019.688	3692.123	T	270	1.8K						
R42	R0603	3847.997	3421.003	3848	3421	3847.997	3394.231	T	90	10r						
R43	R0603	3904.997	3421.003	3905	3421	3904.997	3394.231	T	90	100K						
R46	R0603	2177.162	2783.461	2177.165	2783.465	2203.934	2783.461	T	180	10K						
