Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Einsy_Rambo_0.3a\Einsy Rambo_projectVersion.txt

========================================================================================================================
File Design Information:

Date:       28/07/17
Time:       14:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                            Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                Ref-X(mm) Ref-Y(mm) 
J14        "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    21.9456      65.9892      180      "Connector 2pos"                                                           21.9456   65.9892   
J13        "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    13.7922      65.9892      180      "Connector 2pos"                                                           13.7922   65.9892   
J12        "Molex 0705430003"                 TopLayer 4POL254                     55.0120      3.0072       180      "Molex 4 Pin Clip Connector"                                               55.0120   3.0072    
J11        "Molex 0705430003"                 TopLayer 4POL254                     42.0020      2.9972       180      "Molex 4 Pin Clip Connector"                                               42.0020   2.9972    
J10        "Molex 0705430003"                 TopLayer 4POL254                     42.0020      9.9972       180      "Molex 4 Pin Clip Connector"                                               42.0020   9.9972    
J9         "Molex 0705430003"                 TopLayer 4POL254                     29.0020      2.9972       180      "Molex 4 Pin Clip Connector"                                               29.0020   2.9972    
J8         "Molex 0705430003"                 TopLayer 4POL254                     16.0020      2.9972       180      "Molex 4 Pin Clip Connector"                                               16.0020   2.9972    
J6         "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    60.1000      29.6000      270      "Connector 2pos"                                                           60.1000   29.6000   
J5         "Molex 70543-03"                   TopLayer 70543-03                    66.2622      33.5978      90       "3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold" 66.2622   33.5978   
J4         "Molex 70543-03"                   TopLayer 70543-03                    66.2876      44.1134      90       "3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold" 66.2876   44.1134   
J3         "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    60.1000      37.5000      270      "Connector 2pos"                                                           60.1000   37.5000   
J2         "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    60.1000      45.4000      270      "Connector 2pos"                                                           60.1000   45.4000   
C46        100nF                              TopLayer C0402                       73.5990      69.1832      180      "CAP CER 0402 100nF 16V 10% X7R"                                           73.6028   69.1832   
C44        100nF                              TopLayer C0402                       39.2074      69.6404      180      "CAP CER 0402 100nF 16V 10% X7R"                                           39.2112   69.6404   
LED5       RED                                TopLayer LED2012120                  74.4918      36.2986      90       "LED 0805 Red"                                                             74.4918   36.2902   
R33        1K                                 TopLayer R0402                       71.3042      53.0529      270      "RES SMD 1K OHM 1% 1/16W 0402"                                             71.3042   53.0542   
D35        BAT54                              TopLayer SOD523_IPC                  74.3712      54.7624      360      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           74.3712   54.7624   
D34        BAT54                              TopLayer SOD523_IPC                  71.9518      33.2168      180      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           71.9518   33.2168   
D33        BAT54                              TopLayer SOD523_IPC                  71.9518      32.0484      360      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           71.9518   32.0484   
